verb,tense,predicted,gold,correct
abide,Present 3rd Singular,əbaɪdz,əbaɪdz,+
abide,Progressive,əbaɪdɪŋ,əbaɪdɪŋ,+
abide,Past,əbaɪdɪd,əbaɪdɪd,+
abide,Perfect,əbaɪdɪd,əbaɪdɪd,+
abolish,Present 3rd Singular,əbɑlɪʃɪz,əbɑlɪʃɪz,+
abolish,Progressive,əbɑlɪʃɪŋ,əbɑlɪʃɪŋ,+
abolish,Past,əbɑlɪʃt,əbɑlɪʃt,+
abolish,Perfect,əbɑlɪʃt,əbɑlɪʃt,+
accept,Present 3rd Singular,əksɛpts,əksɛpts,+
accept,Progressive,əksɛptɪŋ,əksɛptɪŋ,+
accept,Past,əksɛptɪd,əksɛptɪd,+
accept,Perfect,əksɛptɪd,əksɛptɪd,+
acknowledge,Present 3rd Singular,əknɑlɪdʒɪz,əknɑlɪdʒɪz,+
acknowledge,Progressive,əknɑlɪdʒɪŋ,əknɑlɪdʒɪŋ,+
acknowledge,Past,əknɑlɪdʒd,əknɑlɪdʒd,+
acknowledge,Perfect,əknɑlɪdʒd,əknɑlɪdʒd,+
adapt,Present 3rd Singular,ədæpts,ədæpts,+
adapt,Progressive,ədæptɪŋ,ədæptɪŋ,+
adapt,Past,ədæptɪd,ədæptɪd,+
adapt,Perfect,ədæptɪd,ədæptɪd,+
admire,Present 3rd Singular,ədmaɪɹz,ədmaɪɹz,+
admire,Progressive,ədmaɪɹɪŋ,ədmaɪɹɪŋ,+
admire,Past,ədmaɪɹd,ədmaɪɹd,+
admire,Perfect,ədmaɪɹd,ədmaɪɹd,+
advise,Present 3rd Singular,ədvaɪzɪz,ədvaɪzɪz,+
advise,Progressive,ədvaɪzɪŋ,ədvaɪzɪŋ,+
advise,Past,ədvaɪzd,ədvaɪzd,+
advise,Perfect,ədvaɪzd,ədvaɪzd,+
afford,Present 3rd Singular,ʌfoɹdz,ʌfoɹdz,+
afford,Progressive,ʌfoɹdɪŋ,ʌfoɹdɪŋ,+
afford,Past,ʌfoɹdɪd,ʌfoɹdɪd,+
afford,Perfect,ʌfoɹdɪd,ʌfoɹdɪd,+
allow,Present 3rd Singular,əlaʊz,əlaʊz,+
allow,Progressive,əlaʊɪŋ,əlaʊɪŋ,+
allow,Past,əlaʊd,əlaʊd,+
allow,Perfect,əlaʊd,əlaʊd,+
amuse,Present 3rd Singular,əmjuzɪz,əmjuzɪz,+
amuse,Progressive,əmjuzɪŋ,əmjuzɪŋ,+
amuse,Past,əmjuzd,əmjuzd,+
amuse,Perfect,əmjuzd,əmjuzd,+
apologize,Present 3rd Singular,əpɑlədʒaɪzɪz,əpɑlədʒaɪzɪz,+
apologize,Progressive,əpɑlədʒaɪzɪŋ,əpɑlədʒaɪzɪŋ,+
apologize,Past,əpɑlədʒaɪzd,əpɑlədʒaɪzd,+
apologize,Perfect,əpɑlədʒaɪzd,əpɑlədʒaɪzd,+
arrange,Present 3rd Singular,əreɪndʒɪz,əreɪndʒɪz,+
arrange,Progressive,əreɪndʒɪŋ,əreɪndʒɪŋ,+
arrange,Past,əreɪndʒd,əreɪndʒd,+
arrange,Perfect,əreɪndʒd,əreɪndʒd,+
arise,Present 3rd Singular,əɹaɪzɪz,əɹaɪzɪz,+
arise,Progressive,əɹaɪzɪŋ,əɹaɪzɪŋ,+
arise,Past,əɹoʊz,əɹoʊz,+
arise,Perfect,əɹɪzən,əɹɪzən,+
arrive,Present 3rd Singular,əɹaɪvz,əɹaɪvz,+
arrive,Progressive,əɹaɪvɪŋ,əɹaɪvɪŋ,+
arrive,Past,əɹaɪvd,əɹaɪvd,+
arrive,Perfect,əɹaɪvd,əɹaɪvd,+
assist,Present 3rd Singular,əsɪsts,əsɪsts,+
assist,Progressive,əsɪstɪŋ,əsɪstɪŋ,+
assist,Past,əsɪstɪd,əsɪstɪd,+
assist,Perfect,əsɪstɪd,əsɪstɪd,+
ask,Present 3rd Singular,æsks,æsks,+
ask,Progressive,æskɪŋ,æskɪŋ,+
ask,Past,æskt,æskt,+
ask,Perfect,æskt,æskt,+
associate,Present 3rd Singular,əsoʊʃieɪts,əsoʊʃieɪts,+
associate,Progressive,əsoʊʃieɪtɪŋ,əsoʊʃieɪtɪŋ,+
associate,Past,əsoʊʃieɪtɪd,əsoʊʃieɪtɪd,+
associate,Perfect,əsoʊʃieɪtɪd,əsoʊʃieɪtɪd,+
attend,Present 3rd Singular,ətɛndz,ətɛndz,+
attend,Progressive,ətɛndɪŋ,ətɛndɪŋ,+
attend,Past,ətɛndɪd,ətɛndɪd,+
attend,Perfect,ətɛndɪd,ətɛndɪd,+
awake,Present 3rd Singular,əweɪks,əweɪks,+
awake,Progressive,əweɪkɪŋ,əweɪkɪŋ,+
awake,Past,əwoʊk,əwoʊk,+
awake,Perfect,əwoʊkən,əwoʊkən,+
balance,Present 3rd Singular,bælənsɪz,bælənsɪz,+
balance,Progressive,bælənsɪŋ,bælənsɪŋ,+
balance,Past,bælənst,bælənst,+
balance,Perfect,bælənst,bælənst,+
ban,Present 3rd Singular,bænz,bænz,+
ban,Progressive,bænɪŋ,bænɪŋ,+
ban,Past,bænd,bænd,+
ban,Perfect,bænd,bænd,+
bake,Present 3rd Singular,beɪks,beɪks,+
bake,Progressive,beɪkɪŋ,beɪkɪŋ,+
bake,Past,beɪkt,beɪkt,+
bake,Perfect,beɪkt,beɪkt,+
bargain,Present 3rd Singular,,bɑɹgənz,-
bargain,Progressive,bɑɹgənɪŋ,bɑɹgənɪŋ,+
bargain,Past,bɑɹgənd,bɑɹgənd,+
bargain,Perfect,bɑɹgənd,bɑɹgənd,+
bark,Present 3rd Singular,bɑɹks,bɑɹks,+
bark,Progressive,bɑɹkɪŋ,bɑɹkɪŋ,+
bark,Past,bɑɹkt,bɑɹkt,+
bark,Perfect,bɑɹkt,bɑɹkt,+
bat,Present 3rd Singular,bæts,bæts,+
bat,Progressive,bætɪŋ,bætɪŋ,+
bat,Past,bætɪd,bætɪd,+
bat,Perfect,bætɪd,bætɪd,+
bathe,Present 3rd Singular,beɪðz,beɪðz,+
bathe,Progressive,beɪðɪŋ,beɪðɪŋ,+
bathe,Past,beɪðd,beɪðd,+
bathe,Perfect,beɪðd,beɪðd,+
be,Present 3rd Singular,ɪz,ɪz,+
be,Progressive,biɪŋ,biɪŋ,+
be,Past,wʌz,wʌz,+
be,Perfect,bɪn,bɪn,+
beam,Present 3rd Singular,bimz,bimz,+
beam,Progressive,bimɪŋ,bimɪŋ,+
beam,Past,bimd,bimd,+
beam,Perfect,bimd,bimd,+
bear,Present 3rd Singular,bɛɹz,bɛɹz,+
bear,Progressive,bɛɹɪŋ,bɛɹɪŋ,+
bear,Past,bɔɹ,bɔɹ,+
bear,Perfect,bɔɹn,bɔɹn,+
beat,Present 3rd Singular,bits,bits,+
beat,Progressive,bitɪŋ,bitɪŋ,+
beat,Past,bit,bit,+
beat,Perfect,bitən,bitən,+
beckon,Present 3rd Singular,bɛkənz,bɛkənz,+
beckon,Progressive,bɛkənɪŋ,bɛkənɪŋ,+
beckon,Past,bɛkənd,bɛkənd,+
beckon,Perfect,bɛkənd,bɛkənd,+
become,Present 3rd Singular,bɪkʌmz,bɪkʌmz,+
become,Progressive,bɪkʌmɪŋ,bɪkʌmɪŋ,+
become,Past,bɪkeɪm,bɪkeɪm,+
become,Perfect,bɪkʌm,bɪkʌm,+
beep,Present 3rd Singular,bips,bips,+
beep,Progressive,bipɪŋ,bipɪŋ,+
beep,Past,bipt,bipt,+
beep,Perfect,bipt,bipt,+
beg,Present 3rd Singular,,bɛgz,-
beg,Progressive,bɛgɪŋ,bɛgɪŋ,+
beg,Past,bɛgd,bɛgd,+
beg,Perfect,bɛgd,bɛgd,+
begin,Present 3rd Singular,,bɪgɪnz,-
begin,Progressive,bɪgɪnɪŋ,bɪgɪnɪŋ,+
begin,Past,bɪgæn,bɪgæn,+
begin,Perfect,bɪgʌn,bɪgʌn,+
believe,Present 3rd Singular,bɪlivz,bɪlivz,+
believe,Progressive,bɪlivɪŋ,bɪlivɪŋ,+
believe,Past,bɪlivd,bɪlivd,+
believe,Perfect,bɪlivd,bɪlivd,+
bend,Present 3rd Singular,bɛndz,bɛndz,+
bend,Progressive,bɛndɪŋ,bɛndɪŋ,+
bend,Past,bɛnt,bɛnt,+
bend,Perfect,bɛnt,bɛnt,+
benefit,Present 3rd Singular,bɛnəfɪts,bɛnəfɪts,+
benefit,Progressive,bɛnəfɪtɪŋ,bɛnəfɪtɪŋ,+
benefit,Past,bɛnəfɪtɪd,bɛnəfɪtɪd,+
benefit,Perfect,bɛnəfɪtɪd,bɛnəfɪtɪd,+
bet,Present 3rd Singular,bɛts,bɛts,+
bet,Progressive,bɛtɪŋ,bɛtɪŋ,+
bet,Past,bɛt,bɛt,+
bet,Perfect,bɛt,bɛt,+
beware,Present 3rd Singular,bɪwɛɹz,bɪwɛɹz,+
beware,Progressive,bɪwɛɹɪŋ,bɪwɛɹɪŋ,+
beware,Past,bɪwɛɹd,bɪwɛɹd,+
beware,Perfect,bɪwɛɹd,bɪwɛɹd,+
bewitch,Present 3rd Singular,bɪwɪtʃɪz,bɪwɪtʃɪz,+
bewitch,Progressive,bɪwɪtʃɪŋ,bɪwɪtʃɪŋ,+
bewitch,Past,bɪwɪtʃt,bɪwɪtʃt,+
bewitch,Perfect,bɪwɪtʃt,bɪwɪtʃt,+
bind,Present 3rd Singular,baɪndz,baɪndz,+
bind,Progressive,baɪndɪŋ,baɪndɪŋ,+
bind,Past,baʊnd,baʊnd,+
bind,Perfect,baʊnd,baʊnd,+
bite,Present 3rd Singular,baɪts,baɪts,+
bite,Progressive,baɪtɪŋ,baɪtɪŋ,+
bite,Past,bɪt,bɪt,+
bite,Perfect,bɪtən,bɪtən,+
bleed,Present 3rd Singular,blidz,blidz,+
bleed,Progressive,blidɪŋ,blidɪŋ,+
bleed,Past,blɛd,blɛd,+
bleed,Perfect,blɛd,blɛd,+
bless,Present 3rd Singular,blɛsɪz,blɛsɪz,+
bless,Progressive,blɛsɪŋ,blɛsɪŋ,+
bless,Past,blɛst,blɛst,+
bless,Perfect,blɛst,blɛst,+
blink,Present 3rd Singular,blɪŋks,blɪŋks,+
blink,Progressive,blɪŋkɪŋ,blɪŋkɪŋ,+
blink,Past,blɪŋkt,blɪŋkt,+
blink,Perfect,blɪŋkt,blɪŋkt,+
blister,Present 3rd Singular,blɪstəɹz,blɪstəɹz,+
blister,Progressive,blɪstəɹɪŋ,blɪstəɹɪŋ,+
blister,Past,blɪstəɹd,blɪstəɹd,+
blister,Perfect,blɪstəɹd,blɪstəɹd,+
blow,Present 3rd Singular,bloʊz,bloʊz,+
blow,Progressive,bloʊɪŋ,bloʊɪŋ,+
blow,Past,blu,blu,+
blow,Perfect,bloʊn,bloʊn,+
blurt,Present 3rd Singular,blɝts,blɝts,+
blurt,Progressive,blɝtɪŋ,blɝtɪŋ,+
blurt,Past,blɝtɪd,blɝtɪd,+
blurt,Perfect,blɝtɪd,blɝtɪd,+
boast,Present 3rd Singular,boʊsts,boʊsts,+
boast,Progressive,boʊstɪŋ,boʊstɪŋ,+
boast,Past,boʊstɪd,boʊstɪd,+
boast,Perfect,boʊstɪd,boʊstɪd,+
boil,Present 3rd Singular,bɔɪlz,bɔɪlz,+
boil,Progressive,bɔɪlɪŋ,bɔɪlɪŋ,+
boil,Past,bɔɪld,bɔɪld,+
boil,Perfect,bɔɪld,bɔɪld,+
bolster,Present 3rd Singular,boʊlstəɹz,boʊlstəɹz,+
bolster,Progressive,boʊlstəɹɪŋ,boʊlstəɹɪŋ,+
bolster,Past,boʊlstəɹd,boʊlstəɹd,+
bolster,Perfect,boʊlstəɹd,boʊlstəɹd,+
bounce,Present 3rd Singular,baʊnsɪz,baʊnsɪz,+
bounce,Progressive,baʊnsɪŋ,baʊnsɪŋ,+
bounce,Past,baʊnst,baʊnst,+
bounce,Perfect,baʊnst,baʊnst,+
bow,Present 3rd Singular,baʊz,baʊz,+
bow,Progressive,baʊɪŋ,baʊɪŋ,+
bow,Past,baʊd,baʊd,+
bow,Perfect,baʊd,baʊd,+
brace,Present 3rd Singular,breɪsɪz,breɪsɪz,+
brace,Progressive,breɪsɪŋ,breɪsɪŋ,+
brace,Past,breɪst,breɪst,+
brace,Perfect,breɪst,breɪst,+
break,Present 3rd Singular,bɹeɪks,bɹeɪks,+
break,Progressive,bɹeɪkɪŋ,bɹeɪkɪŋ,+
break,Past,bɹoʊk,bɹoʊk,+
break,Perfect,bɹoʊkən,bɹoʊkən,+
bring,Present 3rd Singular,bɹɪŋz,bɹɪŋz,+
bring,Progressive,bɹɪŋɪŋ,bɹɪŋɪŋ,+
bring,Past,bɹɔt,bɹɔt,+
bring,Perfect,bɹɔt,bɹɔt,+
broadcast,Present 3rd Singular,bɹɔdkæsts,bɹɔdkæsts,+
broadcast,Progressive,bɹɔdkæstɪŋ,bɹɔdkæstɪŋ,+
broadcast,Past,bɹɔdkæstɪd,bɹɔdkæst,-
broadcast,Perfect,bɹɔdkæstɪd,bɹɔdkæst,-
bruise,Present 3rd Singular,bɹuzɪz,bɹuzɪz,+
bruise,Progressive,bɹuzɪŋ,bɹuzɪŋ,+
bruise,Past,bɹuzd,bɹuzd,+
bruise,Perfect,bɹuzd,bɹuzd,+
brush,Present 3rd Singular,bɹʌʃɪz,bɹʌʃɪz,+
brush,Progressive,bɹʌʃɪŋ,bɹʌʃɪŋ,+
brush,Past,bɹʌʃt,bɹʌʃt,+
brush,Perfect,bɹʌʃt,bɹʌʃt,+
build,Present 3rd Singular,bɪldz,bɪldz,+
build,Progressive,bɪldɪŋ,bɪldɪŋ,+
build,Past,bɪlt,bɪlt,+
build,Perfect,bɪlt,bɪlt,+
bundle,Present 3rd Singular,bʌndlz,bʌndlz,+
bundle,Progressive,bʌndlɪŋ,bʌndlɪŋ,+
bundle,Past,bʌndld,bʌndld,+
bundle,Perfect,bʌndld,bʌndld,+
burden,Present 3rd Singular,bɝdənz,bɝdənz,+
burden,Progressive,bɝdənɪŋ,bɝdənɪŋ,+
burden,Past,bɝdənd,bɝdənd,+
burden,Perfect,bɝdənd,bɝdənd,+
burst,Present 3rd Singular,bɝsts,bɝsts,+
burst,Progressive,bɝstɪŋ,bɝstɪŋ,+
burst,Past,bɝst,bɝst,+
burst,Perfect,bɝst,bɝst,+
buy,Present 3rd Singular,baɪz,baɪz,+
buy,Progressive,baɪɪŋ,baɪɪŋ,+
buy,Past,bɔt,bɔt,+
buy,Perfect,bɔt,bɔt,+
calculate,Present 3rd Singular,kælkjəleɪts,kælkjəleɪts,+
calculate,Progressive,kælkjəleɪtɪŋ,kælkjəleɪtɪŋ,+
calculate,Past,kælkjəleɪtɪd,kælkjəleɪtɪd,+
calculate,Perfect,kælkjəleɪtɪd,kælkjəleɪtɪd,+
call,Present 3rd Singular,kɔlz,kɔlz,+
call,Progressive,kɔlɪŋ,kɔlɪŋ,+
call,Past,kɔld,kɔld,+
call,Perfect,kɔld,kɔld,+
camp,Present 3rd Singular,kæmps,kæmps,+
camp,Progressive,kæmpɪŋ,kæmpɪŋ,+
camp,Past,kæmpt,kæmpt,+
camp,Perfect,kæmpt,kæmpt,+
can,Present 3rd Singular,kæn,kæn,+
can,Progressive,kænɪŋ,No Progressive,-
can,Past,kænd,kʊd,-
can,Perfect,kænd,No Perfect Participle,-
capture,Present 3rd Singular,kæptʃəɹz,kæptʃəɹz,+
capture,Progressive,kæptʃəɹɪŋ,kæptʃəɹɪŋ,+
capture,Past,kæptʃəɹd,kæptʃəɹd,+
capture,Perfect,kæptʃəɹd,kæptʃəɹd,+
carve,Present 3rd Singular,kɑɹvz,kɑɹvz,+
carve,Progressive,kɑɹvɪŋ,kɑɹvɪŋ,+
carve,Past,kɑɹvd,kɑɹvd,+
carve,Perfect,kɑɹvd,kɑɹvd,+
catch,Present 3rd Singular,kæʧɪz,kæʧɪz,+
catch,Progressive,kæʧɪŋ,kæʧɪŋ,+
catch,Past,kɔt,kɔt,+
catch,Perfect,kɔt,kɔt,+
celebrate,Present 3rd Singular,sɛləbreɪts,sɛləbreɪts,+
celebrate,Progressive,sɛləbreɪtɪŋ,sɛləbreɪtɪŋ,+
celebrate,Past,sɛləbreɪtɪd,sɛləbreɪtɪd,+
celebrate,Perfect,sɛləbreɪtɪd,sɛləbreɪtɪd,+
challenge,Present 3rd Singular,tʃælɪndʒɪz,tʃælɪndʒɪz,+
challenge,Progressive,tʃælɪndʒɪŋ,tʃælɪndʒɪŋ,+
challenge,Past,tʃælɪndʒd,tʃælɪndʒd,+
challenge,Perfect,tʃælɪndʒd,tʃælɪndʒd,+
change,Present 3rd Singular,tʃeɪndʒɪz,tʃeɪndʒɪz,+
change,Progressive,tʃeɪndʒɪŋ,tʃeɪndʒɪŋ,+
change,Past,tʃeɪndʒd,tʃeɪndʒd,+
change,Perfect,tʃeɪndʒd,tʃeɪndʒd,+
charge,Present 3rd Singular,tʃɑɹdʒɪz,tʃɑɹdʒɪz,+
charge,Progressive,tʃɑɹdʒɪŋ,tʃɑɹdʒɪŋ,+
charge,Past,tʃɑɹdʒd,tʃɑɹdʒd,+
charge,Perfect,tʃɑɹdʒd,tʃɑɹdʒd,+
cheer,Present 3rd Singular,tʃɪɹz,tʃɪɹz,+
cheer,Progressive,tʃɪɹɪŋ,tʃɪɹɪŋ,+
cheer,Past,tʃɪɹd,tʃɪɹd,+
cheer,Perfect,tʃɪɹd,tʃɪɹd,+
chew,Present 3rd Singular,tʃuz,tʃuz,+
chew,Progressive,tʃuɪŋ,tʃuɪŋ,+
chew,Past,tʃud,tʃud,+
chew,Perfect,tʃud,tʃud,+
choose,Present 3rd Singular,ʧuzɪz,ʧuzɪz,+
choose,Progressive,ʧuzɪŋ,ʧuzɪŋ,+
choose,Past,ʧoʊz,ʧoʊz,+
choose,Perfect,ʧoʊzən,ʧoʊzən,+
clap,Present 3rd Singular,klæps,klæps,+
clap,Progressive,klæpɪŋ,klæpɪŋ,+
clap,Past,klæpt,klæpt,+
clap,Perfect,klæpt,klæpt,+
clarify,Present 3rd Singular,klɛɹəfaɪz,klɛɹəfaɪz,+
clarify,Progressive,klɛɹəfaɪɪŋ,klɛɹəfaɪɪŋ,+
clarify,Past,klɛɹəfaɪd,klɛɹəfaɪd,+
clarify,Perfect,klɛɹəfaɪd,klɛɹəfaɪd,+
classify,Present 3rd Singular,klæsəfaɪz,klæsəfaɪz,+
classify,Progressive,klæsəfaɪɪŋ,klæsəfaɪɪŋ,+
classify,Past,klæsəfaɪd,klæsəfaɪd,+
classify,Perfect,klæsəfaɪd,klæsəfaɪd,+
clean,Present 3rd Singular,klinz,klinz,+
clean,Progressive,klinɪŋ,klinɪŋ,+
clean,Past,klind,klind,+
clean,Perfect,klind,klind,+
cleanse,Present 3rd Singular,klɛnzɪz,klɛnzɪz,+
cleanse,Progressive,klɛnzɪŋ,klɛnzɪŋ,+
cleanse,Past,klɛnzd,klɛnzd,+
cleanse,Perfect,klɛnzd,klɛnzd,+
come,Present 3rd Singular,kʌmz,kʌmz,+
come,Progressive,kʌmɪŋ,kʌmɪŋ,+
come,Past,keɪm,keɪm,+
come,Perfect,kʌm,kʌm,+
command,Present 3rd Singular,kəmændz,kəmændz,+
command,Progressive,kəmændɪŋ,kəmændɪŋ,+
